title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Shadow,Bruce Nugent,Nugent,"Silhouette 

On the face of the moon

Am I.

A dark shadow in the light. 

A silhouette...",October,1925,Opportunity,Charles S. Johnson,,male,"Race: Identity formation, Queer-Homoerotic",Caroling Dusk,New York,Predom. Black,
Credo,Esther Popel,Popel,"I think
That God must be
A Music-Master
Who directs the play,
And we the players in His Orchestra,
Make...",January ,1925,Opportunity,Charles S. Johnson,Free Verse,female,Religion,,New York,Predom. Black,
Kinship,Esther Popel,Popel,"I have no quarrel with those who claim
There is no God; who idly boast
That man...",January ,1925,Opportunity,Charles S. Johnson,Free Verse,female,Religion,,New York,Predom. Black,
Theft,Esther Popel,Popel,"The moon
Was an old, old woman, tonight,
Hurrying home;
Calling pitifully to her children,
The stars,
Begging them to...",April,1925,Opportunity,Charles S. Johnson,Free Verse,female,,,New York,Predom. Black,
That Yaller Gal (La. 1924),Edna Porter,Porter,"Mr. John, listen to me:
Don't pull any foolish stunt.
And don't make another move.
Just keep your...",April,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,female,"Interracial, Slavery",,New York,Predom. Black,
"""The Message""",Eulalia Osby Proctor,Proctor,"I felt the lure of the city,
With the grey-green lake at its feet--
The strong breezes...",July,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
A Poster,George Franklin Proctor,Proctor,"It is Saturday night.
The place is crowded
And such a crowd!
It is neither black nor white,
Brown...",October,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,male,"Dance, Harlem, Music",,New York,Predom. Black,
Black Glory Dead!,Edgar L. Silvera,Silvera,"Black Glory dead! Black Glory dead!
And Ethiopia is no more,
Who from her earthly garden's bed
Her...",May,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Africa,,New York,Predom. Black,
"Lady, Lady",Anne Spencer,Spencer,"Lady, Lady, I saw your face,
Dark as night withholding a star . . .
The chisel...",March,1925,Survey Graphic,Alain Locke,,female,Racism,The New Negro,New York,Predom. White,
To a Brown Child,E. Lucien Waithe,Waithe,"Little brown feet that toss in air,
   Double rosebuds on a stem,
Hard and scorching is...",October,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Race, Racism",,New York,Predom. Black,
Hymn to America,E. Lucien Waithe,Waithe,"America I sing to you
A hymn of love mixed with my tears,
A hymn made up...",August,1925,The Messenger,"A. Philip Randolph, Chandler Owen",,male,"Racism, America",,New York,Predom. Black,
Streets,Lewis Alexander,Alexander,"Avenues of dreams
Boulevards of pain
Moving black streams
Shimmering like rain.",November,1926,Fire!!,Wallace Thurman,Free Verse,male,,,New York,Predom. Black,
Hatred,Gwendolyn B. Bennett,Bennett,"I shall hate you 
Like a dart of singing steel
Shot through still air
At even-tide.
Or solemnly
As...",June,1926,Opportunity,Charles S. Johnson,Free Verse,female,Prize-winning,,New York,Predom. Black,
Lines Written at the Grave of Alexandre Dumas,Gwendolyn B. Bennett,Bennett,"Cemeteries are places for departed souls
And bones interred,
Or hearts with shattered loves.
A woman with lips...",July,1926,Opportunity,Charles S. Johnson,,female,Intertext,,New York,Predom. Black,
Street Lamps in Early Spring,Gwendolyn B. Bennett,Bennett,"Night wears a garment,
All velvet soft, all violet blue . . . 
And over her...",May,1926,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
Dirge,Arna Bontemps,Bontemps,"Oh bury my bones in the dark of the moon,
In a place where the soil...",May,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Race, Racism",,New York,Predom. Black,
Length of Moon,Arna Bontemps,Bontemps,"Then the golden hour
Will tick its last
And the flame will go down in the flower.
A...",November,1926,Fire!!,Wallace Thurman,,male,,,New York,Predom. Black,
Golgotha Is a Mountain,Arna Bontemps,Bontemps,"Golgotha is a mountain, a purple mound
Almost out of sight.
One night they hanged two thieves...",June,1926,Opportunity,Charles S. Johnson,,male,"Africa, Prize-winning",,New York,Predom. Black,
Homing,Arna Bontemps,Bontemps,"Sweet timber land
Where soft winds blow
The high green tree
And fan away fog!
Ah fragrant stream
Where thirsty...",February,1926,Opportunity,Charles S. Johnson,,male,Race,,New York,Predom. Black,
Here Is the Sea,Arna Bontemps,Bontemps,"Here indeed is the rising surf,
The sea you told me of:
A singing wind,
A sailing moon,
And...",January,1926,Opportunity,Charles S. Johnson,,male,Travel-Migration-Great Migration,,New York,Predom. Black,
The Day-Breakers,Arna Bontemps,Bontemps,"We are not come to wage a strife
With swords upon this hill,
It is not wise...",February,1926,Opportunity,Charles S. Johnson,,male,,,New York,Predom. Black,
The Shattering,Arna Bontemps,Bontemps,"The pitcher,
Struck by a careless hand,
Is broken at the fountain.
The stone that was so sure
Is...",March,1926,Opportunity,Charles S. Johnson,,male,,,New York,Predom. Black,
Nocturne at Bethesda,Arna Bontemps,Bontemps,"This poem won the first prize of $75 in The Crisis prize contest of 1926.

I thought I...",December,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Prize-winning, Race, Africa, Religion",,New York,Predom. Black,
Holiday,Arna Bontemps,Bontemps,"When I consider all the people on this stret
I am sad.
I am pained
With thoughts of...",July,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Race,,New York,Predom. Black,
The Tragedy of Pete,Joseph S. Cotter,Cotter,"There was a man
—Whose name was Pete,
And he was a buck
—From his head to his...",July,1926,Opportunity,Charles S. Johnson,Ballad,male,Prize-winning,,New York,Predom. Black,
Lines to Certain of One's Elders,Countee Cullen,Cullen,"YOU too listless to examine
If in pestilence or famine
Death lurk least, a hungry gamin
Gnawing on...",June,1926,Opportunity,Charles S. Johnson,,male,,Caroling Dusk,New York,Predom. Black,
Thoughts in a Zoo,Countee Cullen,Cullen,"They in their cruel traps, and we in ours,   
Survey each other’s rage, and pass...",December,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Caudate sonnet,male,Prize-winning,,New York,Predom. Black,
Confession,Countee Cullen,Cullen,"If for a day joy masters me,
   Think not my wounds are healed;
Far...",July,1926,Opportunity,Charles S. Johnson,"Quatrain, Common Measure",male,"Racism, Prize-winning",,New York,Predom. Black,
From the Dark Tower,Countee Cullen,Cullen,"We shall not always plant while others reap
The golden increment of bursting fruit,
Nor always countenance,...",November,1926,Fire!!,Wallace Thurman,Sonnet,male,,,New York,Predom. Black,
No Images ,Waring Cuney,Cuney,"She does not know
Her beauty
She thinks her brown body
Has no glory
If she could dance
Naked
Under palm...",June,1926,Opportunity,Charles S. Johnson,Free Verse,male,"Race: Black beauty, Prize-winning",The Carolina Magazine,New York,Predom. Black,
The Death Bed,Waring Cuney,Cuney,"All the time they were praying
He watched the shadow of a tree
Flicker on the wall.
There...",November,1926,Fire!!,Wallace Thurman,Free Verse,male,,,New York,Predom. Black,
My Words,Frank Horne,Horne,"I would they were
.... a Pegasus herd,
And I could whip them
Flying
.... up the crest of...",May,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,Labor,,New York,Predom. Black,
To a Persistent Phantom,Frank Horne,Horne,"I buried you deeper last night,
You with your tears
And your tangled hair
You with your lips
That...",July,1926,Opportunity,Charles S. Johnson,,male,Prize-winning,,New York,Predom. Black,
Joy,Langston Hughes,Hughes,"I went to look for Joy,
Slim, dancing Joy,
Gay, laughing Joy,
Bright-eyed Joy,----
And I found her
Driving the...",February,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,,The Weary Blues,New York,Predom. Black,
To Midnight Nan at Leroy's,Langston Hughes,Hughes,"Strut and wiggle,
Shameless gal.
Wouldn't no good fellow
Be your pal.
Hear dat music. . . .
Jungle night.
Hear...",January ,1926,Opportunity,Charles S. Johnson,Quatrain,male,Music,The Weary Blues (1926),New York,Predom. Black,
Elevator Boy,Langston Hughes,Hughes,"I got a job now
Runnin an elevator
In the Dennison Hotel in Jersey,
Job aint no good...",November,1926,Fire!!,Wallace Thurman,Free Verse,male,Labor,,New York,Predom. Black,
Railroad Avenue,Langston Hughes,Hughes,"Dusk dark
On Railroad Avenue.
Lights in the fish joints,
Lights in the pool rooms.
A box car some...",November,1926,Fire!!,Wallace Thurman,Free Verse,male,,,New York,Predom. Black,
Lullaby,Langston Hughes,Hughes,"(For a Black Mother)

My little dark baby,
My little earth-thing,
My little love-one,
What shall I sing
For your...",March,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Motherhood, Race",,New York,Predom. Black,
Teacher,Langston Hughes,Hughes,"Ideals are like the stars,
Always above our reach.
Humbly I tried to learn,
More humbly did I...",May,1926,Opportunity,Charles S. Johnson,Quatrain,male,,,New York,Predom. Black,
Love Song for Lucinda,Langston Hughes,Hughes,"Love
Is a ripe plum
Growing on a purple tree.
Taste it once
And the spell of its enchantment
Will...",May,1926,Opportunity,Charles S. Johnson,,male,,,New York,Predom. Black,
Ruby Brown,Langston Hughes,Hughes,"She was young and beautiful
And golden like the sunshine that warmed her body.
And because she...",August,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Labor, Race, Racism, Travel-Migration-Great Migration",,New York,Predom. Black,
The Ring,Langston Hughes,Hughes,"Love is the master of the ring
And life a circus tent.
What is this silly song...",April,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,,New York,Predom. Black,
To Beauty,Langston Hughes,Hughes,"To worship
At the altar of Beauty,
To feel her loveliness and pain,
To thrill
At the wonder of...",October,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,,New York,Predom. Black,
We Face the Future (1922),Georgia Douglas Johnson,Johnson,"The hour is big with sooth and sign, with errant men at war,
While blood of...",January,1926,Negro World,,,female,Progress and Racial Uplift,Bronze,New York,Predom. Black,
Fulfillment,Helene Johnson,Johnson,"To climb a hill that hungers for the sky,
To dig my hands wrist deep in...",June,1926,Opportunity,Charles S. Johnson,,female,"Travel-Migration-Great Migration, Prize-winning",Carolina Magazine (1927),New York,Predom. Black,
Magalu,Helene Johnson,Johnson,"Summer comes.
The ziczac hovers
'Round the greedy-mouthed crocodile.
A vulture bears away a foolish jackal.
The flamingo is...",October,1926,Palms,Countee Cullen,,female,,Caroling Dusk,New York,Predom. Black,
Bottled,Helene Johnson,Johnson,"Upstairs on the third floor
Of the 135th Street library
In Harlem, I saw a little
Bottle of...",May,1926,Vanity Fair,,,female,"Africa, Dance, Harlem",Caroling Dusk,New York,Predom. White,
The Road,Helene Johnson,Johnson,"Ah, little road all whirry in the breeze,
A leaping clay hill lost among the trees,
The...",July,1926,Opportunity,Charles S. Johnson,,female,"Progress and Racial Uplift, Prize-winning",Caroling Dusk ,New York,Predom. Black,
Fiat Lux,Helene Johnson,Johnson,"Her eyes had caught a bit of loveliness,
A flower blooming in the prison yard;
She ran...",July,1926,The Messenger,"A. Philip Randolph, Chandler Owen",,female,"Incarceration, Racism, Lynching and Racialized Violence",Opportunity,New York,Predom. Black,
Courier,Georgia Douglas Johnson,Johnson,"Where are the brave men?
Where are the strong men?
Pygmies rise and spawn the earth,
Weak-kneed, weak-hearted...",November,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,Racism,,New York,Predom. Black,
Decay,Georgia Douglas Johnson,Johnson,"Swift-footed Time, how eagerly you go
Across the swaying summer grasses bed
As on in breathless haste...",November,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,,,New York,Predom. Black,
A Southern road,Helene Johnson,Johnson,"Yolk-colored tongue
Parched beneath a burning sky,
A lazy little tune
Hummed up the crest of some
Soft sloping...",November,1926,Fire!!,Wallace Thurman,Free Verse,female,Lynching and Racialized Violence,,New York,Predom. Black,
Futility,Helene Johnson,Johnson,"It is silly--
This waiting for love
In a parlor.
When love is singing up and down the...",August,1926,Opportunity,Charles S. Johnson,Free Verse,female,,,New York,Predom. Black,
Love in Midsummer,Helene Johnson,Johnson,"Ah love
Is Like a throbbing wind,
A lullaby all crooning,
Ah love
Is like a summer sea's soft...",October,1926,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
The Little Love,Helene Johnson,Johnson,"A shy ear bared
For incipient kisses;
A secret shared
In laughter exquisite;
Soft finger tips,
While the night embraces,
Touch...",July,1926,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
Lethe,Georgia Douglas Johnson,Johnson,"I do not ask for love,--ah! no,
   Nor friendship's happiness,
These were relinquished long...",July,1926,Opportunity,Charles S. Johnson,Quatrain,female,Prize-winning,,New York,Predom. Black,
Finality,Georgia Douglas Johnson,Johnson,"When love’s triumphant day is done,
Go forward! leave me to the night
Beneath the coldly staring...",September,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,female,,,New York,Predom. Black,
Night,Helene Johnson,Johnson,"The moon flung down the bower of her hair,
A sacred cloister while she knelt at...",January ,1926,Opportunity,Charles S. Johnson,Quatrain,female,Religion,,New York,Predom. Black,
Metamorphism,Helene Johnson,Johnson,"Is this the sea?
This calm emotionless bosom,
Serene as the heart of a converted Magdalene--
Or this?
This...",March,1926,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
A Daughter of the American Revolution to Her Son ,Claude McKay,McKay,"I'm happy that you graduated high,
It stirs my pride to see what you could do
In...",March,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Slavery,,New York,Predom. Black,
Negro Street Serenade (In the South),Effie Lee Newsome,Newsome,"The quavering zigzag of the fiddle’s notes;
The thumping “tum-tum” of the banjo and guitar;
The gauzy...",July,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,"Music, Race, Travel-Migration-Great Migration",,New York,Predom. Black,
Jungle Taste,Edward S. Silvera,Silvera,"There is a coarseness
In the songs of black men 
Of the sea.
There is a weird...",November,1926,Fire!!,Wallace Thurman,Free Verse,male,Black beauty,The Crisis,New York,Predom. Black,
Happiness and Death,Edward S. Silvera,Silvera,"Happiness

I went in quest of happiness
Upon a golden mountain
But she was in the plain below
Beside...",November,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset","Quatrain, Free Verse",male,Black Vernacular (AAVE),,New York,Predom. Black,
White Vanity,Edward S. Silvera,Silvera,"The moon is laughing at the sky;
The pale white moon derides the black-faced sky:
You should...",July,1926,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Race,,New York,Predom. Black,
Memory,Edward S. Silvera,Silvera,"The past has gone, like a man that's dead,
To pay his vows to eternity,
The past...",July,1926,The Messenger,"A. Philip Randolph, Chandler Owen",,male,,,New York,Predom. Black,
God's Edict,Wallace Thurman,Thurman,"Let the wind-rolled waves tell the tale of the sea,
And the talkative pines tell the...",July,1926,Opportunity,Charles S. Johnson,Religion,male,Prize-winning,,New York,Predom. Black,
Unto This Last,Eda Lou Walton,Walton,"Unto this last, Dear Love, unto this last;
When it is past, then it is past.
So...",December,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
Northboun',Lucy Ariel Williams,Williams,"O' de wurl' ain't flat,
An' de wurl' ain't roun',
H'it's one long strip
Hangin' up an' down—
Jes'...",June,1926,Opportunity,Charles S. Johnson,,female,"AAVE, Travel-Migration-Great Migration, Prize-winning",,New York,Predom. Black,
Transformation,Lewis Alexander,Alexander,"I return the bitterness,
   Which you gave to me;
When I wanted loveliness
 ...",June,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,male,,Caroling Dusk ,New York,Predom. Black,
"""Durham Streets""",Lewis Alexander,Alexander,"Feet
F-e-e-t
Faces
F-a-c-e-s
Bodies
B-o-d-i-e-s
Tobacco scented B-O-D-I-E-S
The Durham streets at dusk
Are swarmed with color.
It is the moving panorama
Painted by...",June,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",Free Verse,male,Labor,,New York,Predom. Black,
The Tobacco Factory Girl,Lewis Alexander,Alexander,"I wonder
If the man 
To whom she gives her love:
Sees her as the mother of...",February,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",Free Verse,male,Labor,,New York,Predom. Black,
Effigy,Lewis Alexander,Alexander,"FORM 
 
You stood in the yard 
Like a lilac bush 
With your head tossed high 
As if to push 
Your...",December ,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,
The Black Pageant,Lewis Alexander,Alexander,"From the factory doors
The pageant pours
Down the mud of Pettigrew Street.
The sound of feet
Treads on...",April,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,male,Labor,,New York,Predom. Black,
Portrait,George Leonard Allen,Allen,"Her eyes?      Dark pools of deepest shade
   ...",January ,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,male,,,New York,Predom. Black,
Twilight Fancy,George Leonard Allen,Allen,"Dusk came dancing down the dale
     Like a slim dark maiden,
Crowned...",December,1927,The Crisis,W.E.B. Du Bois,Quatrain,male,Prize-winning,,New York,Predom. Black,
To a Negro Musician,George Leonard Allen,Allen,"Brown slender fingers on the ivory keys,
What is the strange alluring theme you play?
Whence came...",June,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Sonnet,male,Race,,New York,Predom. Black,
Paint Me A God,J. Harvey L. Baxter,Baxter,"Paint me a God, as black as I am black,
     As...",March,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,Race: Identity formation,,New York,Predom. Black,
To a Dark Girl,Gwendolyn B. Bennett,Bennett,"I love you for your brownness
And the rounded darkness of your breast.
I love you for...",October,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,female,Race,Caroling Dusk ,New York,Predom. Black,
The Return,Arna Bontemps,Bontemps,"I 
 
Once more, listening to the wind and rain, 
Once more, you and I, and above the...",July,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,"Africa, Dance, Prize-winning","Ebony and Topaz, Caroling Dusk",New York,Predom. Black,
Angela,Arna Bontemps,Bontemps,"So while a lessening glint of sun ray
Loiters golden in your hair,
Pale girl, do you...",August,1927,The Crisis,W.E.B. Du Bois,Free Verse,male,Interracial,,New York,Predom. Black,
Idolatry,Arna Bontemps,Bontemps,"You have been good to me, I give you this: 
The arms of lovers empty...",December ,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,
My Heart Has Known Its Winter,Arna Bontemps,Bontemps,"A little while spring will claim its own, 
In all the land around for mile on...",December,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,
Near the Cedar Tree,Arna Bontemps,Bontemps,"You'll wait no more at the cedar tree alone,
And at the quiet water’s edge :
The...",March,1927,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Tree,Arna Bontemps,Bontemps,"It grows with the thorn and wormwood
Near the river of life,
This tree,
Whose fickle buds
Bear twelve...",April,1927,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
A Student I Know,Jonathan H. Brooks,Brooks,"He mocks the God invisible
To whom his mother prays;
“What stands on faith for proof is...",December,1927,Ebony and Topaz,Charles S. Johnson,,male,Religion,,New York,Predom. Black,
The Resurrection,Jonathan H. Brooks,Brooks,"His friends went off and left Him dead
in Joseph's subterranean bed,
Embalmed with myrrh and sweet...",September,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,Religion,,New York,Predom. Black,
You of Another Hue,Frances Smith Brown,Brown,"You have the freedom of all the earth,
But what of me?
You receive the value of...",February,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,"Interracial, Racism",,New York,Predom. Black,
Maiden of my Race,Frances Smith Brown,Brown,"Your tears are wasted, maiden of my race. 
There is no law that makes white...",November,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,Lynching and Racialized Violence,,New York,Predom. Black,
Seeing the Light,Frances Smith Brown,Brown,"Who puts his wagon to a star,
     Shall drive it but...",November,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,Progress and Racial Uplift,,New York,Predom. Black,
Foreclosure,Sterling A. Brown,Brown,"Father Missouri takes his own. 
These are the fields he loaned them, 
Out of hearts’ fullness; gratuitously, 
Here...",December,1927,Ebony and Topaz,Charles S. Johnson,,male,Agriculture- Environment,,New York,Predom. Black,
When de Saints Go Ma'ching Home,Sterling A. Brown,Brown,"He'd play, after the bawdy songs and blues,
After the weary plaints
Of “Trouble, Trouble deep down...",July,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,"AAVE, Intertext, Prize-winning",,New York,Predom. Black,
After the Storm,Sterling A. Brown,Brown,"There is pathetic beauty in it all;
       O’erhead the...",April,1927,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Dreamers,J. Alpheus Butler,Butler,"Darktown folk
Do dream.
They sit in the front parlor
And talk.
Sometimes
About cotton
Or the new Ford
Or the new...",June,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,Race,,New York,Predom. Black,
Poem,Gladys May Casely-Hayford,Casely-Hayford,"Why do the bards of black folk
Sing grief brushed over with gladness?
Because God sculptured the...",October,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,"Religion, Race","Pseudonym, Saturday Evening Quill (1929) ",New York,Predom. Black,
Rainy Season Love Song,Gladys May Casey Hayford,Casely-Hayford,"Out of the tense awed darkness, my Frangepani
       comes;
Whilst...",September,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,female,,,New York,Predom. Black,
Sorrow Songs,Carrie Williams Clifford,Clifford,"Oh, haunting melodies of grief and pain;
Oh, heart-wrung agonies distilled in song;
Oh, moving minors—weird, pathetic...",June,1927,The Crisis,W.E.B. Du Bois,Sonnet,female,Slavery,,New York,Predom. Black,
Definition,Anita Scott Coleman,Coleman,"Night is a velvet cloak
Wrapped ’round a gay Lothario;
Day is a flash-light
In the hand of...",November,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,female,,,New York,Predom. Black,
Wash Day,Anita Scott Coleman,Coleman,"The rain has hung her washing out
The earth is cool and dry
Dirty faces are descried...",April,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,female,,,New York,Predom. Black,
Dusk,Mae V. Cowdery,Cowdery," Like you 
 Letting down your 
 Purpled shadowed hair 
 To hide the...",December,1927,Ebony and Topaz,Charles S. Johnson,Free Verse,female,,,New York,Predom. Black,
The Wind Blows,Mae V. Cowdery,Cowdery,"The wind blows.
My soul is like a tree
Lifting its face to the sun,
Flinging wide its...",October,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Free Verse,female,,,New York,Predom. Black,
Longings,Mae V. Cowdery,Cowdery,"To dance—
In the light of moon,
A platinum moon
Poised like a slender dagger
On the velvet darkness...",December,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,"Prize-winning, Dance, Music, ",,New York,Predom. Black,
Lamps,Mae V. Cowdery,Cowdery,"Bodies are lamps
And their life is the light.
Ivory, Gold, Bronze and Ebony—
Yet all are lamps
And...",December,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,"Prize-winning, Race: Black Identity",,New York,Predom. Black,
Consecration,Lois Augusta Cuglar,Cuglar,"My sweet, red blood to snuff the Yellow hate,
My proud, White flesh a Black girl’s...",December,1927,Ebony and Topaz,Charles S. Johnson,,female,Interracial,,New York,Predom. Black,
A Thorn Forever In the Breast,Countee Cullen,Cullen,"A hungry cancer will not let him rest
Whose heart is loyal to the least of...",August,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Sonnet,male,,,New York,Predom. Black,
Sonnet to Her,Countee Cullen,Cullen,"Sonnet to Her

HOW have I found this favor in her sight,
And will the flame burn...",March,1927,The Crisis,W.E.B. Du Bois,Sonnet,male,,,New York,Predom. Black,
To John Haynes Holmes,Countee Cullen,Cullen,"To John Haynes Holmes

(Read at the Testimonial Dinner to John Haynes Holmes in recognition of...",March,1927,The Crisis,W.E.B. Du Bois,Sonnet,male,,,New York,Predom. Black,
Extenuation to Certain Critics,Countee Cullen,Cullen,"Cry Shame upon me if you must, 
Shout Treason and Default, 
Say I betray a sacred trust 
Aching...",December,1927,Ebony and Topaz,Charles S. Johnson,,male,Interracial,,New York,Predom. Black,
A Song No Gentleman Would Sing to Any Lady,Countee Cullen,Cullen,"There are some things I might not know 
Had you not pedagogued me so; 
And these I...",December ,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,
Self Criticism,Countee Cullen,Cullen,"Shall I go all my bright days singing, 
(A little pallid, a trifle wan) 
The...",December,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,
Interior Decoration,Waring Cuney,Cuney,"When the earth was finished
God papered the ceiling
And walls with sky.
He then hung out the...",August,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Free Verse,male,,,New York,Predom. Black,
A Triviality,Waring Cuney,Cuney,"Not to dance with her
Was such a trivial thing.
There were girls more fair than she,—
Today
Ten...",November,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,,,New York,Predom. Black,
Negro Woman,Wesley Curtwright,Curtright,"A poor old faded rose is she
From which the bloom is gone;
Caressed by a hundred...",February,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Quatrain,male,,,New York,Predom. Black,
Afterthought,Wesley Curtwright,Curtwright,"Leave me alone
And let me think
Of things that were,
And things that might have been
If only...",May,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",Free Verse,male,,,New York,Predom. Black,
To...,Ethel Caution Davis,Davis,"Out of the hush of night,
Out of the sob of morn,
Out of the sigh of...",December,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,Prize-winning,,New York,Predom. Black,
Portrait of an Old Woman,F. Marshall Davis,Davis,"Leather skin of a tom-tom
stretched loosely
over dried marrowless bones
then painted with a brown
the color of...",April,1927,The Crisis,W.E.B. Du Bois,Free Verse,male,"Incarceration, Religion",,New York,Predom. Black,
To Those Dead and Gone,Allison Davis,Davis,"Lie broken in the dark, cool loam
You still enrich, not with your force now,
But with...",November,1927,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
That Hill,Blanche Taylor Dickinson,Dickinson,"That Hill
This poem won honorable mention in THE CRISIS contest of 1926.

IT crawled away from...",January,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,Prize-winning,,New York,Predom. Black,
Fortitude,Blanche Taylor Dickinson,Dickinson,"She screamed but no one heard her. . .
Her body was a silencer.
She cried and...",February,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Octave,female,,,New York,Predom. Black,
A Sonnet and a Rondeau,Blanche Taylor Dickinson,Dickinson,"Ah, I know what happiness is…
It is a timid little fawn
Creeping softly up to me
For...",September,1927,Opportunity,"Charles S. Johnson, Countee Cullen","Sonnet, Rondeau",female,,,New York,Predom. Black,
Things Said When He Was Gone,Blanche Taylor Dickinson,Dickinson,"My branch of thoughts is frail tonight 
As one lone wind-whipped weed. 
Little I care if a...",December,1927,Ebony and Topaz,Charles S. Johnson,,female,,,New York,Predom. Black,
To One Who Thinks of Suicide,Blanche Taylor Dickinson,Dickinson,"Sometimes it seems that only cowards live
With weighted hearts each day;
It seems braver far to...",January,1927,The Crisis,W.E.B. Du Bois,,female,,,New York,Predom. Black,
April Is On The Way,Alice Dunbar Nelson,Dunbar-Nelson," April is on the way! 
 
I saw the scarlet flash of a blackbird’s...",December,1927,Ebony and Topaz,Charles S. Johnson,,female,,,New York,Predom. Black,
The Sun of Brittainy,Jessie Fauset,Fauset,"I

“The sea compels me; sister I must go
Nay! Do not hold me,—I’m of age you...",November,1927,The Crisis,W.E.B. Du Bois,Free Verse,female,,,New York,Predom. Black,
